Timestamp	Gender	Age	Nationality	Current Country of Residence	Current State of Residence	Highest Level of Education	Is your degree tech related?	Did you go through a bootcamp to learn technical skills?	Job Title	What is your currency code?	What is your current monthly base salary?	Conversion	Monthly Base Salary (MYR)	How many days of annual leave are you entitled to?	What technologies do you use for work on a regular basis?	Company Industry	What is the size of your company?	What is the size of your tech team? 	Satisfaction Level of Current Job	Years of Experience
27/07/2021 01:28:38	Male	23	Malaysian	Malaysia	W.P. Kuala Lumpur	Undergraduate Degree	Yes	No	Software Engineer	MYR	3000		3000	2	"Laravel, React, Vue"	Financial Services	51-200 employees	11 - 50 people	9	0
31/07/2021 18:12:49	Male	23	Malaysian	Malaysia		Undergraduate Degree	Yes	No	Software engineer 	MYR	2800		2800	0	React native	Financial Services	"1,001-10,000 employees"	2 - 10 people	9	0
24/10/2021 13:27:19	Female	22	Malaysian	Malaysia	W.P. Kuala Lumpur	Undergraduate Degree	Yes	No	Software engineer intern	MYR	1000		1000	0	Asp.net mvc	Gateway	51-200 employees	2 - 10 people	5	0
27/07/2021 09:13:50	Male	24	Malaysian	Malaysia	Sarawak	Undergraduate Degree	Yes	No	Software Engineer	MYR	2700		2700	12	Java	Government and Government Linked Companies (GLC)	201-1000 employees	2 - 10 people	5	0
16/08/2021 13:15:26	Other	23	Malaysian	Malaysia		Undergraduate Degree	Yes	No	Junior Web Developer	MYR	2200		2200	8	PHP	HR	1-10 employees	Team of 1	10	0
26/07/2021 21:44:52	Male	22	Malaysian	Malaysia	Selangor	Undergraduate Degree	Yes	No	Software Engineer	MYR	4400		4400	18	Java	"Industrials (Manufacturing, Construction, etc.)"	">10,000employees"	11 - 50 people	8	0
01/08/2021 01:49:15	Female	22	Malaysian	Malaysia	Penang	Undergraduate Degree	Yes	No	Technical Intern	MYR	3300		3300	11	Python	"Industrials (Manufacturing, Construction, etc.)"	"1,001-10,000 employees"	2 - 10 people	8	0
26/07/2021 20:29:16	Male	24	Malaysian	Malaysia	Perak	Undergraduate Degree	Yes	No	Software Engineer 	MYR	4500		4500	15	Angular Spring Boot Docker Kubernetes 	Information Technology & Services 	"1,001-10,000 employees"	2 - 10 people	7	0
01/08/2021 22:36:13	Male	26	Malaysian	Malaysia	Penang	Undergraduate Degree	No	No	Junior .net developer	MYR	3600		3600	12	"Angular, C#, Api"	It	51-200 employees	2 - 10 people	5	0
02/11/2021 19:53:57	Male	23	Malaysian	Malaysia	Selangor	Undergraduate Degree	Yes	Yes	Front End Web Developer	MYR	3000		3000	12	"Html, Css, Js, Vue"	"Media, Creative Industries"	51-200 employees	11 - 50 people	7	0
26/07/2021 20:50:21	Male	23	Malaysian	Malaysia	Selangor	Undergraduate Degree	Yes	No	Junior software developer	MYR	3600		3600	12	"Kubernetes, GCP, AWS, PHP, Mariadb"	"Media, Creative Industries"	11-50 employees	2 - 10 people	8	0
27/07/2021 00:18:35	Female	24	Malaysian	Malaysia	Selangor	Undergraduate Degree	Yes	No	Data Analyst	MYR 	3960		3960	15	"SQL, Excel, R"	"Professional Services (Law, Consulting, etc.)"	11-50 employees	2 - 10 people	7	0
07/10/2021 21:28:11	Male	22	Malaysian	Malaysia	Selangor	Undergraduate Degree	Yes	No	Mobile Developer	MYR	3000		3000	12	"Mobile, Web"	"Professional Services (Law, Consulting, etc.)"	51-200 employees	2 - 10 people	7	0
26/07/2021 20:12:49	Male	28	Malaysian	Malaysia	W.P. Kuala Lumpur	Undergraduate Degree	No	No	Programmer Analyst	MYR	3100		3100	14	"Microsoft Dynamics ERP, SQL Server, Visual Studio"	"Professional Services (Law, Consulting, etc.)"	1-10 employees	2 - 10 people	6	0
27/07/2021 08:39:17	Female	24	Malaysian	Malaysia	Terengganu 	Undergraduate Degree	Yes	No	SAP Consultant 	MYR	3200		3200	38400	Laptop 	"Professional Services (Law, Consulting, etc.)"	201-1000 employees	200+ people	7	0
26/07/2021 20:17:40	Female	22	Malaysian	Malaysia	W.P. Kuala Lumpur	Undergraduate Degree	Yes	No	Web Developer	MYR	3000		3000	4	"JSON, ASP.NET"	Retail / ecommerce	11-50 employees	2 - 10 people	10	0
26/07/2021 20:05:11	Male	23	Malaysian	Malaysia	W.P. Kuala Lumpur	Undergraduate Degree	Yes	No	Associate Developer	MYR	5000		5000	16	Configura Magic	Space planning	201-1000 employees	51 - 200 people	7	0
10/09/2021 16:18:56	Male	23	Malaysian	Malaysia	Penang	Undergraduate Degree	Yes	No	Software Developer	MYR	3800		3800	14	"Java, Javascript, Spring Framework"	"Transport, Logistics"	201-1000 employees	2 - 10 people	5	0
27/07/2021 22:15:51	Female	26	Malaysian	Malaysia	Penang	Masters Degree	Yes	No	IT Data Analysis	MYR	3800		3800	12	Python	"Industrials (Manufacturing, Construction, etc.)"	">10,000employees"	2 - 10 people	6	0.33
10/08/2021 09:50:23	Male	28	Malaysian	Malaysia	Selangor	Undergraduate Degree	Yes	No	Programmer	MYR	3500		3500	14	Angular 2	Business	11-50 employees	2 - 10 people	6	0.5
27/07/2021 09:35:29	Male	24	Malaysian	Malaysia	Selangor	Undergraduate Degree	Yes	No	Software Engineer	MYR	1300		1300	4	"Java EE, SQL and JSP "	Financial Services	201-1000 employees	2 - 10 people	5	0.5
26/07/2021 23:45:35	Male	23	Malaysian	Malaysia	Selangor	Undergraduate Degree	Yes	No	Web Application Developer	MYR	3800		3800	15	"WAS, Angular,Spring"	Financial Services	51-200 employees	2 - 10 people	4	0.5
08/10/2021 13:28:36	Male	23	Malaysian	Malaysia	W.P. Kuala Lumpur	Undergraduate Degree	Yes	No	Software Engineer	MYR	3900		3900	15	".NET, React, Angular, Nodejs, MSSQL, MySQL, Azure, AWS"	Government and Government Linked Companies (GLC)	">10,000employees"	11 - 50 people	9	0.5
03/08/2021 09:47:34	Male	24	Malaysian	Malaysia	Selangor	Undergraduate Degree	Yes	No	Devops/Web Platform Support Engineer	MYR	3500		3500	15	"Akamai, AWS, TIBCO, Jira, Bitbucket"	Healthcare	"1,001-10,000 employees"	2 - 10 people	10	0.5
31/07/2021 20:33:50	Male	23	Malaysian	Malaysia	Sabah	Undergraduate Degree	Yes	No	Field work	MYR	3500		3500	14	"AWS, NextJS, typescript, javascript, python"	"Industrials (Manufacturing, Construction, etc.)"	1-10 employees	Team of 1	9	0.5
26/07/2021 20:26:26	Male	22	Malaysian	Malaysia	Selangor 	Undergraduate Degree	Yes	No	Software engineer 	MYR	3800		3800	16	"C#.Net, Jquery"	"Professional Services (Law, Consulting, etc.)"	51-200 employees	2 - 10 people	6	0.5
26/07/2021 21:47:20	Male	23	Malaysian	Malaysia	Perak	Undergraduate Degree	Yes	No	Software Engineer	MYR	3500		3500	20	"Node js, Django, React, Python"	Retail / ecommerce	1-10 employees	2 - 10 people	7	0.5
26/07/2021 21:27:06	Male	26	Malaysian	Malaysia	Selangor	Undergraduate Degree	Yes	No	Software Engineer Specialist	MYR	4750		4750	16	Quill (Quintiq Logic Language)	Tech	">10,000employees"	2 - 10 people	6	0.5
18/11/2021 05:37:23	Male	22	Malaysian	Malaysia	W.P. Kuala Lumpur	Undergraduate Degree	Yes	Yes	System Engineer	MYR	2700		2700	14	"Laptpp, phone"	Tech	51-200 employees	2 - 10 people	1	0.5
08/08/2021 13:18:03	Male	24	Malaysian	Malaysia	Penang	Undergraduate Degree	Yes	Yes	AI Engineer 	MYR	4000		4000	0	Pytorch	Information Technology & Services 	51-200 employees	51 - 200 people	10	0.67
26/07/2021 20:44:58	Male	23	Malaysian	Malaysia	Penang	Undergraduate Degree	Yes	Yes	Junior Deep Learning Engineer	MYR	4000		4000	12	Python 	Tech	51-200 employees	2 - 10 people	8	0.7
14/08/2021 07:54:17	Male	25	Malaysian	Malaysia	Selangor	Undergraduate Degree	Yes	No	Software Engineer	MYR	3500		3500	14	"SQL, vb.net, MSSQL"	Financial Services	11-50 employees	2 - 10 people	8	0.8
23/10/2021 12:38:08	Female	28	Malaysian	Malaysia	W.P. Kuala Lumpur 	Undergraduate Degree	No	No	UX DESIGNER / Frontend Dev	MYR 	4000		4000	12	"HTML, CSS, JS, PHP, "	Financial Services	201-1000 employees	2 - 10 people	6	0.8
26/07/2021 20:26:59	Male	26	Malaysian	Malaysia	Selangor	Undergraduate Degree	Yes	No	Android App Developer	MYR	3500		3500	8	Android Studio	Smart Home & security	11-50 employees	Team of 1	7	0.8
16/08/2021 11:43:03	Male	22	Malaysian	Malaysia	Johor	Diploma	Yes	No	Software Engineer	MYR	3000		3000	1	"Visual Studio Code, Android Studio, Flutter, Dart"	Technology	11-50 employees	2 - 10 people	10	1
30/07/2021 00:08:11	Male	25	Malaysian	Malaysia	Selangor	Masters Degree	No	No	Front end developer	MYR	5500		5500	16	"React, JS/Typescript, CSS-in-JS, SCSS, Websocket, REST API, GraphQL"	Financial Services	201-1000 employees	11 - 50 people	7	1
19/12/2021 13:38:15	Male	35	Malaysian	Malaysia	Selangor	Masters Degree	No	Yes	Frontend Developer	MYR	3500		3500	14	"ASP.NET, CSS3, HTML5, FIGMA, CODEPEN, GIT BASH, GITHUB"	Financial Services	11-50 employees	2 - 10 people	10	1
27/07/2021 18:49:58	Male	24	Malaysian	Malaysia	Negeri Sembilan	Masters Degree	Yes	No	Data Engineer	MYR	4200		4200	12	"Kubernetes, Docker, Linux, Spark, Python, Git"	"Industrials (Manufacturing, Construction, etc.)"	201-1000 employees	2 - 10 people	2	1
28/07/2021 01:24:14	Female	24	Malaysian	Malaysia	W.P. Kuala Lumpur	Masters Degree	Yes	No	Software Quality Assurance Engineer	MYR	4300		4300	20	"GCP, Postman, Bamboo, Jira, MongoDB"	Service Provider: Software	201-1000 employees	2 - 10 people	8	1
27/07/2021 16:22:14	Female	30	Malaysian	Malaysia	Selangor	Masters Degree	No	No	Software Engineer	MYR	6426		6426	14	"ReactJS, React Native, Go, PostgreSQL, NodeJs, Docker"	"Transport, Logistics"	51-200 employees	11 - 50 people	10	1
17/08/2021 21:38:48	Male	24	MyPR	Malaysia	Selangor	SPM	N/A	No	Back End Developer	MYR	6000		6000	10	"Node.js, typescript, aws"	Auto Vehicles	11-50 employees	2 - 10 people	7	1
26/07/2021 22:08:04	Male	30	Malaysian	Malaysia	W.P. Kuala Lumpur	SPM	No	Yes	Software Engineer	MYR	6000		6000	16	Javascript	"Professional Services (Law, Consulting, etc.)"	"1,001-10,000 employees"	2 - 10 people	10	1
21/08/2021 17:36:20	Male	21	Malaysian	Malaysia	W.P. Kuala Lumpur	UEC	N/A	Yes	Software Engineer	MYR	3600		3600	14	"python, node.js, javascripts, mysql, etc"	"Media, Creative Industries"	11-50 employees	2 - 10 people	8	1
26/07/2021 22:13:25	Male	23	Malaysian	Malaysia	Johor	Undergraduate Degree	Yes	No	Frontend Developer	MYR	3800		3800	14	React JS	Art & Design	201-1000 employees	11 - 50 people	8	1
26/07/2021 22:23:26	Male	28	Malaysian	Malaysia	Selangor	Undergraduate Degree	No	No	Backend developer	MYR	4000		4000	11	"Nestjs, nodejs, Javascript, mongoDB, firebase, AWS"	Auto Vehicles	11-50 employees	2 - 10 people	8	1
06/08/2021 13:15:22	Male	23	Malaysian	Malaysia		Undergraduate Degree	Yes	No	Software Engineer	MYR	6200		6200	15	React.js	Auto Vehicles	">10,000employees"	11 - 50 people	8	1
27/07/2021 10:59:24	Male	23	Malaysian	Malaysia	Kedah	Undergraduate Degree	Yes	No	Junior Java Developer	MYR	3500		3500	14	Not sure of question.	BPO	51-200 employees	11 - 50 people	10	1
09/08/2021 16:28:28	Male	25	Malaysian	Malaysia	W.P. Kuala Lumpur	Undergraduate Degree	Yes	No	Application Developer	MYR	3500		3500	12	Kendo	Business	11-50 employees	2 - 10 people	5	1
26/07/2021 20:05:33	Male	22	Malaysian	Malaysia	Selangor	Undergraduate Degree	Yes	No	Application Engineer	MYR	4000		4000	16	.NET 	Business	201-1000 employees	2 - 10 people	8	1
26/07/2021 23:36:54	Male	23	Malaysian	Malaysia	kedah	Undergraduate Degree	Yes	Yes	DE	MYR	3800		3800	15	a lot	Business	51-200 employees	2 - 10 people	8	1
08/10/2021 15:52:08	Male	25	Malaysian	Malaysia	Selangor	Undergraduate Degree	Yes	No	Full Stack Developer	MYR	4500		4500	14	Laptop	Business	51-200 employees	2 - 10 people	6	1
27/07/2021 01:06:39	Female	24	Malaysian	Malaysia	W.P. Kuala Lumpur	Undergraduate Degree	Yes	No	Python Developer	MYR	3500		3500	15	Python and flutter	Business	51-200 employees	2 - 10 people	6	1
22/08/2021 08:22:34	Male	23	Malaysian	Malaysia	Selangor	Undergraduate Degree	Yes	No	Software Developer	MYR	3500		3500	12	C#	Business	11-50 employees	2 - 10 people	6	1
26/07/2021 22:12:02	Male	24	Malaysian	Malaysia	Selangor	Undergraduate Degree	Yes	No	Software Developer	MYR	3000		3000	14	"Android Studio, Java, Flutter"	Business	">10,000employees"	2 - 10 people	4	1
27/07/2021 10:44:14	Male	25	Malaysian	Malaysia	Selangor	Undergraduate Degree	Yes	No	SOFTWARE DEVELOPER	MYR	4200		4200	14	"VUEJS, DOCKER, EXPRESSJS, MONGO, MYSQL, PYTHON, KUBENETES, ASP.NET CORE, JENKINS"	Business	201-1000 employees	11 - 50 people	7	1
26/07/2021 23:22:16	Male	27	Malaysian	Malaysia	Selangor	Undergraduate Degree	Yes	No	Software Engineer	MYR	2900		2900	14	"Laravel,PHP,JAVASCRIPT,HTML,JQUERY"	Business	11-50 employees	2 - 10 people	7	1
22/08/2021 18:17:59	Male	24	Malaysian	Malaysia	Selangor	Undergraduate Degree	Yes	No	Software Engineer	MYR	3000		3000	24	"php laravel, vuejs"	Business	201-1000 employees	11 - 50 people	8	1
30/07/2021 12:29:49	Male	24	Malaysian	Malaysia	Selangor	Undergraduate Degree	Yes	No	Solutions Architect	MYR	5000		5000	0	"AWS, Kubernetes, Vue,React,AI/ML"	Cloud	">10,000employees"	2 - 10 people	10	1
26/07/2021 23:16:17	Male	23	Malaysian	Malaysia	Selangor	Undergraduate Degree	Yes	No	Software Developer	MYR	2500		2500	14	Laptop	Communication	11-50 employees	2 - 10 people	4	1
26/07/2021 22:32:26	Male	25	Malaysian	Malaysia	W.P. Kuala Lumpur	Undergraduate Degree	Yes	No	Software Engineer 	MYR	3000		3000	14	Kotlin	Communication	11-50 employees	11 - 50 people	6	1
01/08/2021 18:48:30	Male	26	Malaysian	Malaysia	Selangor	Undergraduate Degree	Yes	No	Cybersecurity	MYR	3000		3000	12	"Azure, Python"	"Data Infrastructure, Telecom"	201-1000 employees	2 - 10 people	6	1
26/07/2021 21:20:04	Male	27	Malaysian	Malaysia	Selangor	Undergraduate Degree	Yes	No	Junior Full Stack developer	MYR	3500		3500	14	"Laravel, kubernetes, gcloud (gke mainly), nodejs, etc"	"Data Infrastructure, Telecom"	51-200 employees	2 - 10 people	6	1
26/07/2021 20:49:27	Male	25	Malaysian	Malaysia	Selangor	Undergraduate Degree	Yes	No	Network Technology Engineer	MYR	4800		4800	16	"Python, JavaScript, Jquery, Bootstrap, HTML, CSS, Selenium"	"Data Infrastructure, Telecom"	">10,000employees"	2 - 10 people	9	1
08/12/2021 03:43:42	Male	23	Malaysian	Malaysia	W.P. Kuala Lumpur	Undergraduate Degree	Yes	No	Software Developer	MYR	3300		3300	15	"C#, ASP.NET, MSSQL"	"Data Infrastructure, Telecom"	11-50 employees	2 - 10 people	5	1
31/07/2021 14:52:35	Male	22	Bangladesh	Malaysia	Johor	Undergraduate Degree	Yes	No	Software Developer	MYR	3000		3000	0	Flutter	"Data Infrastructure, Telecom"	1-10 employees	2 - 10 people	6	1
22/10/2021 20:08:59	Male	25	Malaysian	Malaysia	Penang	Undergraduate Degree	No	Yes	Software Engineer	MYR 	3500		3500	12	"Python, Docker"	"Data Infrastructure, Telecom"	51-200 employees	11 - 50 people	7	1
26/07/2021 20:08:44	Male	24	Malaysian	Malaysia		Undergraduate Degree	Yes	No	Software engineer	MYR	3000		3000	14	Php	"Data Infrastructure, Telecom"	201-1000 employees	11 - 50 people	7	1
28/07/2021 23:28:27	Female	24	Malaysian	Malaysia	Selangor	Undergraduate Degree	Yes	No	programmer	MYR	2400		2400	12	"django, pyhton, laravel, "	"Energy, Utilities"	51-200 employees	2 - 10 people	8	1
26/07/2021 22:47:25	Female	25	Malaysian	Malaysia	Selangor	Undergraduate Degree	Yes	No	Software Engineer	MYR	5000		5000	22	".NET, Python, Power BI"	"Energy, Utilities"	">10,000employees"	11 - 50 people	10	1
27/07/2021 00:19:46	Male	25	Malaysian	Malaysia	Selangor	Undergraduate Degree	Yes	No	Software Engineer	MYR	3500		3500	20	"C#, Js, Ts"	"Energy, Utilities"	201-1000 employees	2 - 10 people	5	1
26/07/2021 21:29:09	Male	21	Malaysian	Malaysia	Selangor	Undergraduate Degree	Yes	Yes	Associate Penetration Tester	MYR	4700		4700	20	Laptop	Entertainment	"1,001-10,000 employees"	2 - 10 people	9	1
27/07/2021 10:57:49	Female	25	Malaysian	Malaysia	Perak	Undergraduate Degree	Yes	No	Web Developer	MYR	2700		2700	15	"Javascript, jQuery, Spark AR"	Entertainment	51-200 employees	2 - 10 people	6	1
27/07/2021 17:56:01	Male	23	Malaysian	Malaysia	Selangor	Undergraduate Degree	Yes	No	Android developer	MYR	3000		3000	14	Android	Events	11-50 employees	2 - 10 people	3	1
27/07/2021 14:15:41	Male	24	Malaysian	Malaysia	W.P. Kuala Lumpur	Undergraduate Degree	Yes	No	Android Developer	MYR	2500		2500	12	Android 	Financial Services	51-200 employees	2 - 10 people	8	1
08/10/2021 13:34:11	Male	24	Malaysian	Malaysia	Selangor	Undergraduate Degree	Yes	No	Application Engineer	MYR	5000		5000	18	"Java, Javascript"	Financial Services	"1,001-10,000 employees"	51 - 200 people	10	1
15/08/2021 19:06:50	Male	25	Malaysian	Malaysia	W.P. Kuala Lumpur	Undergraduate Degree	Yes	No	Blockchain Developer	USD	5800	4.29	24882	0	"Vuejs, hardhat, subgraph, solidity"	Financial Services	1-10 employees	2 - 10 people	8	1
27/07/2021 01:22:33	Male	23	Malaysian	Malaysia	W.P. Kuala Lumpur	Undergraduate Degree	Yes	No	Data Scientist	MYR	5000		5000	13	Laptop	Financial Services	201-1000 employees	2 - 10 people	8	1
19/09/2021 21:13:50	Male	23	Malaysian	Malaysia	Perak	Undergraduate Degree	Yes	No	DevSecOps Intern	MYR	2000		2000	21	"Git, GitLab, Docker, SonarQube, Jenkins, Postgres"	Financial Services	"1,001-10,000 employees"	2 - 10 people	9	1
26/07/2021 20:08:16	Male	24	Malaysian	Malaysia	W.P. Kuala Lumpur	Undergraduate Degree	N/A	No	machine learning engineer	MYR	4000		4000	14	python	Financial Services	51-200 employees	2 - 10 people	7	1
26/07/2021 20:17:46	Male	23	Malaysian	Malaysia	Selangor 	Undergraduate Degree	Yes	No	"Senior Software Engineer, Full Stack "	MYR	5000		5000	14	"Golang, javascript, React, Mysql, elastic search"	Financial Services	51-200 employees	11 - 50 people	10	1
07/10/2021 22:43:41	Male	23	Malaysian	Malaysia	Selangor	Undergraduate Degree	Yes	No	software developer	MYR	4000		4000	12	c#	Financial Services	11-50 employees	2 - 10 people	6	1
26/07/2021 20:12:15	Male	24	Malaysian	Malaysia	Selangor	Undergraduate Degree	Yes	No	Software Developer	MYR	3300		3300	14	"C#,Angular"	Financial Services	51-200 employees	11 - 50 people	8	1
27/07/2021 04:26:53	Male	25	Malaysian	Malaysia	Selangor	Undergraduate Degree	Yes	No	Software Engineer	MYR	3800		3800	18	"Python, JavaScript, GCP, Kubernetes"	Financial Services	201-1000 employees	2 - 10 people	10	1
26/07/2021 22:33:24	Male	23	Malaysian	Malaysia	W.P. Kuala Lumpur	Undergraduate Degree	Yes	No	UI/Ux Developer	MYR	3000		3000	7	React framework	Financial Services	1-10 employees	2 - 10 people	7	1
26/07/2021 21:02:05	Male	25	Malaysian	Malaysia	Sarawak	Undergraduate Degree	Yes	No	Engineering Technology Coordinator	MYR	2000		2000	14	Documentation and website development	Government and Government Linked Companies (GLC)	11-50 employees	2 - 10 people	3	1
02/11/2021 22:54:58	Male	23	Malaysian	Malaysia	Selangor	Undergraduate Degree	Yes	No	IT Programmer	MYR	6000		6000	14	Flutter	Healthcare	"1,001-10,000 employees"	11 - 50 people	9	1
07/08/2021 07:01:16	Male	24	Expat	Malaysia	Selangor	Undergraduate Degree	Yes	No	Software Engineer	MYR	5000		5000	18	Rust/C++	Healthcare	11-50 employees	2 - 10 people	8	1
26/07/2021 21:02:05	Male	24	Malaysian	Malaysia	Selangor	Undergraduate Degree	Yes	No	AI / Full Stack Engineer	MYR	3800		3800	8	"AWS, Azure, Elastic, Python. "	"Industrials (Manufacturing, Construction, etc.)"	11-50 employees	2 - 10 people	5	1
26/07/2021 20:40:30	Male	24	Malaysian	Malaysia	Selangor	Undergraduate Degree	Yes	No	Data Scientist	MYR	3640		3640	14	"Python, AWS, ML, DL"	"Industrials (Manufacturing, Construction, etc.)"	">10,000employees"	11 - 50 people	3	1
26/07/2021 20:51:04	Female	24	Malaysian	Malaysia	Selangor	Undergraduate Degree	Yes	No	Data Scientist 	MYR	3640		3640	14	"RPA, Django, Bootstrap, AWS"	"Industrials (Manufacturing, Construction, etc.)"	">10,000employees"	11 - 50 people	2	1
17/11/2021 16:26:15	Male	22	Malaysian	Malaysia	Perak	Undergraduate Degree	Yes	No	DevOps Engineer	MYR	3300		3300	14	"Microsoft Power BI, Jenkins, Docker"	"Industrials (Manufacturing, Construction, etc.)"	">10,000employees"	11 - 50 people	7	1
02/08/2021 14:27:54	Male	25	Malaysian	Malaysia	Johor	Undergraduate Degree	Yes	No	Embedded Tester	MYR	2600		2600	14	"Python, Bash"	"Industrials (Manufacturing, Construction, etc.)"	201-1000 employees	11 - 50 people	3	1
04/12/2021 10:15:12	Male	24	Malaysian	Malaysia	Selangor	Undergraduate Degree	Yes	No	IT Developer	MYR	3500		3500	14	"PHP, MSSQL"	"Industrials (Manufacturing, Construction, etc.)"	"1,001-10,000 employees"	2 - 10 people	4	1
26/07/2021 22:20:10	Male	24	Malaysian	Malaysia	Penang	Undergraduate Degree	Yes	No	Software Development Engineer	MYR	3600		3600	14	"Python, Perl, Java, C++"	"Industrials (Manufacturing, Construction, etc.)"	">10,000employees"	2 - 10 people	8	1
